date,message,retweets
2019-05-21 15:32:27,The \xe2\x80\x9cmore complex wave-2/b\xe2\x80\x9d mentioned last week can still not be excluded: y\xe2\x80\x99day the $SPX pretty much bottomed in t\xe2\x80\xa6 https://t.co/trluFeLjT2',0
2019-05-21 15:31:39,"If you are a member  and have been following my twits since morning, you should have made good #money. \n\nBIG WINs T\xe2\x80\xa6 https://t.co/rb2BPgSnYz'",0
2019-05-21 15:31:11,"$remx is gonna be a way to play the USA/China trade war! $spx $spy #rareearths critical to USA military, NA has NO production!'",0
2019-05-21 15:30:15,I know every1 is waiting for my next amazing predictions after last weeks monster $twtr $goog $spx $uvxy grand slam\xe2\x80\xa6 https://t.co/xAjMDckDyM',0
2019-05-21 15:30:01,"Poor high addressed, we still have one more left. watch out for marked levels in ES for intraday moves for today.\xe2\x80\xa6 https://t.co/xbXxQsWblv'",0
2019-05-21 15:29:44,"Maybe a n00b question, but: Has anyone noticed that the opening prices for $SPY listed on https://t.co/7Lgq8xHuIQ (\xe2\x80\xa6 https://t.co/MGEfPzgc3c'",0
2019-05-21 15:29:15,$SPX is trading to the levels provided to the members this morning. Great $$$ day today\n\n2874\n2866\n2860\n2842\n2832-2\xe2\x80\xa6 https://t.co/nfxPa2Szo6',0
2019-05-21 15:28:18,"b""\xe2\x96\xb6\xef\xb8\x8e Females 'Ship' Match's New Dating App https://t.co/qWSkG36dmV $SPX $SPY $ES_F $IWM $VIX #tradetalks""",0
2019-05-21 15:27:26,$SPX go go go  \xf0\x9f\x92\xa3 https://t.co/T7E0m9Ts2V',0
2019-05-21 15:27:26,"b""Squeeze's GEX calc directly corresponds to presence of explicit $SPX option writing strategies... \n\nAs in, the opti\xe2\x80\xa6 https://t.co/pXV8nEfmnN""",2
2019-05-21 15:23:52,"SPX Daily. While the market advance is broad today, the actual buy/sell volume data still nothing to write home abo\xe2\x80\xa6 https://t.co/Fy2EzflQOW'",0
2019-05-21 15:23:02,"b""Today's bullish $SPX gap was the biggest since April 1 at 0.49%. It is only the 5th gap higher this May\n\nRead more\xe2\x80\xa6 https://t.co/QRyDBJpjHR""",0
2019-05-21 15:22:55,If u have missed the move best take a snooze pretty crap tape atm #ES_F $SPX #trading #NQ_F #RTY_F #DJIA $NDX #YM_F #RUT',0
2019-05-21 15:22:02,"$TSLA $NDX $SPX:\n\nThe Ratings Game: Tesla stock\xe2\x80\x99s \xe2\x80\x98bear case\xe2\x80\x99 is $10, Morgan Stanley says:\n\nhttps://t.co/3No55Qr8IY'",0
2019-05-21 15:21:50,"b""Waited patiently for $ES to hit my supply zone and took a short, should be a nice one, let's see how far it will re\xe2\x80\xa6 https://t.co/dn7h4niymC""",0
2019-05-21 15:20:05,$SPX looking pricey to me. https://t.co/3jnROBgjEE',0
2019-05-21 15:19:55,"Remind me again why people trust these ""analysts""\n\n$KSS $SPY $SPX $TSLA $BA $AMD $NVDA $AAPL $FB $TGT $WMT $HD https://t.co/ExfP14iiex'",0
2019-05-21 15:19:03,"true finesse, comes in taking the least amount of trades for the most profit when oyu;re daytrading imo $spy $spx\xe2\x80\xa6 https://t.co/0501xm80eL'",0
2019-05-21 15:19:02,Spx 3400 before election time.',0
2019-05-21 15:18:49,Top 5 Asset Classes-Weekly: $TLT $GSG $UUP $XLB $SPX The recent pain the the equity markets starts to make its mark\xe2\x80\xa6 https://t.co/eu6VxiSSxr',0
2019-05-21 15:16:59,$SPX $SPXEW looking for CCI trigger as we saw in similar occasions with F/T https://t.co/iMQwuhYXIS',0
2019-05-21 15:16:49,"b""so far it's just a small pullback (not as good as consolidation though), if strong bull bar breaks above the day hi\xe2\x80\xa6 https://t.co/Y8sJ3dREgG""",0
2019-05-21 15:16:30,if $SPX can get  to 2900 the  FED is  selling  2800 puts\n\n \xf0\x9f\xa4\xa3',0
2019-05-21 15:16:23,*Updating the Plus3Fuse to 2866.00 - as always firm above/weak below.\n\n#Plus3Fuse $SPY $SPX $ES',1
2019-05-21 15:14:35,$USDJPY may see more upside while the SP500 $ES_F $SPX holds above 2800 https://t.co/DBjfJ4m9yt',1
2019-05-21 15:14:18,"$AAPL Update(weekly chart); , #apple, $spx, #twows, Apple https://t.co/TdgzQqzR9j'",0
2019-05-21 15:14:00,"$ES_F now above 2863...slow chugging can make it to 2890 , if today 2872 can be overcome.. $SPX $SPY . Need to see\xe2\x80\xa6 https://t.co/m00uOL9Kp5'",0
2019-05-21 15:13:43,"@dynamicvol Take a look at a long term SPX chart, from inception.'",0
2019-05-21 15:13:23,$spx #spx $spy #spy 5/21/2019 11:22AM\n\nHas hit the 0.618 target https://t.co/oyIX8ONJp0',0
2019-05-21 15:13:11,S&amp;P 500 Stocks With Daily RSI Below 30 [20-May]:\n\n5-Day:  25% \xe2\x87\xa7 \xe2\x96\xba https://t.co/fZs6UoA8A3\n10-Day: 18% \xe2\x87\xa7 \xe2\x96\xba\xe2\x80\xa6 https://t.co/TVkoSifDhF',0
2019-05-21 15:12:30,"b""Fed's Evans: Lower trend growth makes #QE more likely over time \n\n#USD #DXY #TNX #SPX""",3
2019-05-21 15:12:27,Short term intraday levels $ES_f $SPX https://t.co/o1w6ujR53O',0
2019-05-21 15:11:03,$MS $TSLA $SPX:\n\nCramer calls Morgan Stanley\xe2\x80\x99s $10 worst-case on Tesla stock \xe2\x80\x98really insane\xe2\x80\x99:\n\nhttps://t.co/z3RBfic04e',0
2019-05-21 15:10:33,"2 way to see $SPX\n\n It broke out, came back to kiss trend line ...      or\n It broke down, came back to kiss trend\xe2\x80\xa6 https://t.co/eBHLmuTliN'",0
2019-05-21 15:10:17,"#ES_F $SPX $SPY Hourly resistance, careful of rejection. https://t.co/BcliLmZ9Nh'",0
2019-05-21 15:09:44,Prayer Shawls 101 had a ceremony to celebrate a great year in their Kaizen!! @SPX7200 https://t.co/EOTgRwIQ7u',0
2019-05-21 15:09:31,It\xe2\x80\x99s Tuesday so that means that SPX is celebrating 25 years of SPX art. This week we\xe2\x80\x99re going back to 2007 with thi\xe2\x80\xa6 https://t.co/I6MQ2yeqmU',0
2019-05-21 15:09:14,"For those asking, here is deleted #TrollTweet:\n\nI wonder why he deleted?\n\nMay be has something to do with fact Shyl\xe2\x80\xa6 https://t.co/afHT3tQ49p'",1
2019-05-21 15:09:00,Still between the gaps. The long wicks shown last week come in at 2891 and 2892; represent very short-term guidepos\xe2\x80\xa6 https://t.co/IBxRsaH7KL',0
2019-05-21 15:07:32,BOOYAH! Congrats to our members! Killing it today! #SPOT #SPX #NVDA #CVS #PANW #BABA calls all hitting!\n\nJOIN US fo\xe2\x80\xa6 https://t.co/Uvz5WjXrrq',0
2019-05-21 15:06:53,"A lot going on in the #SPX $SPY June expiry Ratio Table, for full comments and levels please see\xe2\x80\xa6 https://t.co/O7lioTTPED'",0
2019-05-21 15:06:47,#ES_F\n\nThe move is done IMO. A nice leg down should come from this point possibly for 2833.\n\n$SPX $VIX $SPY',0
2019-05-21 15:06:35,"$SPX broke out of 2859 resistance for a spike. Now has major resistance at 2872. Next intraday support at 2863, pos\xe2\x80\xa6 https://t.co/CYUUeG3tBZ'",0
2019-05-21 15:05:48,"#VolView : RV creeping higher and $VIX down compressing premium to just 1.6 pts, $SKEW low, $VVIX down to median lv\xe2\x80\xa6 https://t.co/YVgxMYFpcF'",0
2019-05-21 15:05:14,Curious to see how recent regulatory rules will effect national and foreign markets? Read our monthly regulatory ru\xe2\x80\xa6 https://t.co/eLCl3UzhS4',0
2019-05-21 15:04:55,The 200d linear regression curve and 3yr linreg trendline for $SPX implies some reserved/compressed energy. If the\xe2\x80\xa6 https://t.co/vLHLZMFkMN',0
2019-05-21 15:04:06,divergence lifts SPX back to the 50 day. A/D line at ATH.',0
2019-05-21 15:03:30,"$SPX\nlooking @ day high 2868.88 (so far)\n= the OI + Jenkins targets on the positive side\nwhich is 1.272 on the ""Nig\xe2\x80\xa6 https://t.co/5mOiWWGGIk'",0
2019-05-21 15:03:21,$SPX has cleared its 20 hour m.a. and declining hourly trendline mentioned in morning report at 2859/60 region.\nthi\xe2\x80\xa6 https://t.co/CnlcI2q6Si',0
2019-05-21 15:03:04,$SPX $SPY $ES_F This market has a goldfish memory \xf0\x9f\x90\xa0 https://t.co/qYAw89hcrU',0
2019-05-21 15:02:02,$SPX $SPY $GOOGL $NFLX $AMZN $FB $QCOM $DIS $IBB $TSLA $BKNG $CMG $BA $LYFT $BYND $MELI $BTC $UBER $NVDA Why is the market up today?',0
2019-05-21 15:01:16,Why is Tuesday $SPX &amp; $QQQ #ShortSqueeze day now? \xf0\x9f\xa4\x94',0
2019-05-21 15:01:01,"b""It's 11AM &amp; we're near HODs.  Note the earlier Neg Divg on 15 Min &amp; 30Min had already been resolved earlier in the\xe2\x80\xa6 https://t.co/o8ySBP0QjP""",0
2019-05-21 15:00:03,GREAT DAY! 50% on #SPOT CALLS / 75% on #SPX CALLS / +30% on #NVDA calls! AMAZING DAY to be a premium member! Nailed\xe2\x80\xa6 https://t.co/faXbvQtnRG',0
2019-05-21 14:59:57,[ Advance / Decline ]-RATIO 4-WEEKs of $SPX $NDX $FDAX $FESX $FSMI   \n4-WEEKs : 1350 / 2290.ratio of [  WINNERS&gt;1%\xe2\x80\xa6 https://t.co/qrnxzM715N',0
2019-05-21 14:59:43,Closed my 2860/2850 Call spread for profit. $es_f $SPX $SPY https://t.co/XoFTs5QGzz',0
2019-05-21 14:59:13,$SPX well news trumps. Market feel strong holding $TZA $SPXU sitting through it',0
